Expression,Definition + Context,Example Sentence
SKIN LOOKS RED AND PUFFY / MOON FACE / PLETHORIC FACE,"⚠️ 'Plethoric' — stress on THOR: pleh-THOR-ik (3 syllables). Do NOT say 'PLETH-or-ik'. Moon face = a rounded, full, puffy face from fat redistribution — a classic sign of Cushing's syndrome. Plethoric face = flushed, reddish appearance from increased blood vessel fragility. Patient expressions: 'my face looks really puffy', 'my skin is red', 'I look like I've gained weight in my face'. OET: red flag → urgent GP referral.",The patient said she used to have quite pale skin but now it looked red and puffy — the pharmacist recognised this as a plethoric appearance consistent with possible Cushing's syndrome.
ACNE (ADULT / STEROID-INDUCED),"⚠️ Stress on AK (1st syllable): AK-nee. Do NOT say 'ak-NEE' or 'AK-nay'. Acne = a skin condition causing spots, pimples, and cysts. In adults, new or worsening acne may indicate: hormonal imbalance (Cushing's, PCOS), long-term corticosteroid use (steroid acne), or certain medications. Steroid acne typically appears on the trunk (chest/back) as well as the face — differs from typical teenage acne. OET: ask about new or worsening acne in patients on long-term steroids.",The patient reported that her acne had worsened significantly since starting the steroid medication — the pharmacist noted this alongside her other symptoms and arranged a GP review.
STENTS (CORONARY / VASCULAR),"⚠️ 'Stent' — 1 syllable, rhymes with 'bent' and 'went'. Do NOT say 'STEN-t' with a split or 'STEE-ent'. A stent = a small mesh tube inserted into a narrowed or blocked blood vessel to keep it open. Coronary stents are placed after a heart attack. Patients with stents are typically on dual antiplatelet therapy — aspirin + clopidogrel — and must NEVER stop without cardiology advice (risk of stent thrombosis = life-threatening). OET red flag.",The patient mentioned he had had two stents fitted after his heart attack — the pharmacist confirmed he was still taking both aspirin and clopidogrel and stressed the importance of never stopping them without speaking to his cardiologist.
I SPRAINED IT BADLY / SPRAIN VS STRAIN,"⚠️ 'Sprained' — SPRAYND (1 syllable). 'Strained' — STRAYND (1 syllable). These sound similar — do not confuse them. KEY DISTINCTION: SPRAIN = injury to a LIGAMENT (connects bone to bone) — e.g. sprained ankle. STRAIN = injury to a MUSCLE or TENDON (connects muscle to bone) — e.g. pulled hamstring. OET: when a patient says 'I sprained it badly', ask: Was it X-rayed? Is it still giving trouble? Any ongoing instability?",The patient said she had sprained her ankle badly the previous year — the pharmacist asked whether it had fully recovered and whether she had any ongoing pain or instability.
WILL I BE IN A LOT OF PAIN? / POST-OPERATIVE PAIN MANAGEMENT,"⚠️ 'Management' — stress on MAN: MAN-ij-munt (3 syllables). Fear of post-operative pain is one of the most common pre-operative patient concerns. OET communication principle: (1) acknowledge the concern empathetically FIRST — 'That's a completely understandable worry'; (2) then reassure with factual information about the pain management plan; (3) do NOT dismiss or minimise. Options include: regular paracetamol, NSAIDs, opioids, patient-controlled analgesia (PCA), nerve blocks.",The patient anxiously asked whether she would be in a lot of pain after the operation — the pharmacist acknowledged her concern and explained that the team would monitor her pain closely and act quickly if needed.
WHEN I COME AROUND / COME ROUND (REGAINING CONSCIOUSNESS),"⚠️ 'Come around' / 'come round' = British English idiom for regaining consciousness after anaesthesia or sedation. Recognise this immediately in OET listening. Clinical equivalent: emergence from anaesthesia / regaining consciousness. 'Consciousness' — stress on KON: KON-shus-ness (3 syllables). Related patient expressions: 'come to', 'wake up', 'come round'. Rephrase clinically: 'When you regain consciousness after the procedure...'","The patient asked, 'Will I know what's happening when I come around?' — the pharmacist reassured her that nursing staff would be right there and would explain everything calmly as she woke up."
TIGHT ACROSS THE CHEST / I'VE FELT A BIT TIGHT,"⚠️ Patient expression for chest tightness or pressure — a RED FLAG symptom in OET. 'Tight across the chest' describes a squeezing or constricting sensation. Causes: angina (exertional, relieved by rest or GTN), asthma (with wheeze/cough), anxiety, musculoskeletal. OET: NEVER minimise chest tightness. Always explore: character, onset, duration, radiation (arm/jaw?), associated symptoms (SOB, palpitations, sweating), triggers.","The patient said she had felt a bit tight across the chest during her morning walk — the pharmacist asked whether it had happened before, how long it lasted, and whether it spread to her arm or jaw."
PASSES VERY SMELLY WIND / MALODOROUS FLATUS,"⚠️ 'Malodorous' — stress on OH: mal-OH-dur-us (4 syllables). 'Flatus' — stress on FLAY: FLAY-tus (2 syllables). Patient expression: 'I pass very smelly wind', 'I have bad wind', 'I'm very gassy and it smells terrible'. Clinical: malodorous flatus. Caused by bacterial fermentation of undigested food — seen in IBS, lactose intolerance, coeliac disease, SIBO. OET rephrase: 'So you've been passing a lot of wind, and it has a particularly strong odour?'","The patient mentioned she had been passing very smelly wind for the past few weeks — the pharmacist asked about her diet, bowel habits, and whether she had noticed any bloating."
variant,"A form or version of something that differs slightly from the standard — used in medicine (e.g. variant of a disease, genetic variant, variant strain of a virus), business (product variant), and general English (a variant spelling). Pronounced: VAIR-ee-unt (3 syllables, stress on VAIR). OET context: 'a variant of the condition', 'a variant strain', 'variant Creutzfeldt-Jakob disease (vCJD)'.",The patient's symptoms were slightly atypical — the pharmacist noted this may represent a variant presentation of the condition and referred for specialist review.
deliverables,"Tangible outputs or results that must be produced and delivered as part of a project or work agreement — used in project management and business contexts. Pronounced: deh-LIV-ur-uh-bulz (5 syllables, stress on LIV). MBA context: 'What are the key deliverables for this project?' Each deliverable has a specific deadline and measurable outcome.","The project manager outlined the key deliverables for the quarter — including a completed market analysis, a stakeholder report, and a revised budget forecast."
alongside,"Beside or together with something — used to describe two things happening at the same time or in parallel. Pronounced: uh-long-SYD (3 syllables, stress on SYD). Clinical OET use: 'alongside your current medication', 'alongside lifestyle changes'. MBA use: 'alongside the core business strategy'.","The pharmacist advised the patient to use the new cream alongside her existing medication, rather than as a replacement."
compromised,"Weakened, damaged, or put at risk — in clinical contexts: 'compromised immune system' (reduced ability to fight infection), 'compromised airway' (blocked or partially obstructed). Pronounced: KOM-pruh-myzd (3 syllables, stress on KOM). Also used in business: 'the project was compromised by delays'.",Patients with a compromised immune system — such as those on immunosuppressants or chemotherapy — are at significantly higher risk of infection and should avoid live vaccines.
known unknowns,A concept from risk management and strategic thinking — 'known unknowns' are risks or gaps in knowledge that we are aware of but do not yet have answers to (contrast with 'unknown unknowns' — risks we don't even know exist yet). MBA/project management term made famous by Donald Rumsfeld. OET listening: may appear in complex clinical reasoning passages.,The project risk register identified several known unknowns — including potential regulatory changes and supply chain disruptions — that the team needed to plan contingencies for.
routine discretion,"The regular, everyday use of professional judgement to make context-appropriate decisions — 'discretion' = the freedom to decide what is appropriate in a given situation. Pronounced: dih-SKRESH-un (3 syllables, stress on SKRESH). Clinical use: 'Use your professional discretion', 'handle with discretion' (= confidentially). MBA use: 'managers are expected to exercise routine discretion in day-to-day operations'.",Pharmacists are expected to exercise routine discretion when counselling patients — adapting their communication style and level of detail to each individual's needs and circumstances.
synkinesis,"An involuntary movement that accompanies a voluntary movement — occurs when nerves regenerate incorrectly after damage. Most commonly seen after facial nerve palsy (Bell's palsy): e.g. eye closes when smiling, or mouth moves when blinking. Pronounced: sin-kih-NEE-sis (4 syllables, stress on NEE). OET/clinical context: a complication of facial nerve recovery that may be distressing for patients.","The patient had developed synkinesis after Bell's palsy — she found that her eye would close involuntarily whenever she smiled, which she found both distressing and socially awkward."
dehydrated / dehydration,"Dehydration = insufficient fluid in the body — caused by inadequate intake, excessive loss (vomiting, diarrhoea, sweating), or both. Pronounced: dee-hy-DRAY-shun (4 syllables, stress on DRAY). Signs: dry mouth, dark urine, dizziness, reduced skin turgor. OET clinical use: always assess hydration status; advise fluid intake; in severe cases IV fluids may be needed.","The patient appeared dehydrated — her mouth was dry, her urine was dark, and she felt dizzy on standing — the pharmacist advised her to increase her fluid intake and seek GP review if she did not improve."
malnourished / malnutrition,"Malnutrition = a deficiency (or excess) of nutrients that impairs health — includes undernutrition (insufficient calories/protein) and overnutrition (obesity). Pronounced: mal-NYOO-trish-un (4 syllables, stress on NYOO). Signs of undernutrition: weight loss, muscle wasting, fatigue, poor wound healing, oedema. OET: common in elderly patients, those with cancer, or those on restricted diets.",The elderly patient appeared malnourished — she had lost significant weight and her arms showed signs of muscle wasting — the pharmacist recommended a GP referral and discussed nutritional supplement options.
IV fluids (intravenous fluids),"Fluids administered directly into a vein — used to treat dehydration, shock, electrolyte imbalances, or to deliver medications. Common types: normal saline (0.9% NaCl), dextrose (5%), Hartmann's solution. Pronounced: IV = eye-VEE; intravenous = in-truh-VEE-nus (4 syllables, stress on VEE). OET: patients in hospital settings frequently receive IV fluids — pharmacists may counsel carers about this.","The patient was severely dehydrated and unable to keep fluids down, so the doctor ordered IV fluids to be given through a drip in her arm."
diet described as predominantly liquid,"A diet consisting mainly of liquids — clinically relevant in patients with dysphagia (swallowing difficulty), post-surgical recovery, or severe nausea. 'Predominantly' = mainly, for the most part. Pronounced: preh-DOM-ih-nunt-lee (5 syllables, stress on DOM). OET: relevant when taking a nutritional history — 'Can you tell me what you've been able to eat and drink?' Liquid diet may indicate dysphagia or significant illness.",The patient described her diet as predominantly liquid — she was only able to manage soups and smoothies due to difficulty swallowing — the pharmacist recommended urgent referral to a speech and language therapist.
carbonated drinks / fizzy drinks,"Drinks containing dissolved carbon dioxide — fizzy drinks, sparkling water, sodas. 'Carbonated' = KAR-buh-nay-tid (4 syllables, stress on KAR). Clinical relevance: carbonated drinks can worsen GORD/reflux, IBS bloating, and post-operative nausea. OET: advise patients with reflux or IBS to avoid carbonated drinks. 'Fizzy drinks' is the common British patient term.",The pharmacist advised the patient to avoid carbonated drinks and spicy foods as these were likely to worsen her acid reflux symptoms.
decompose,"To break down into simpler substances through bacterial or chemical action — in biology: organic matter decomposes. In pharmacy/medicine: 'the drug decomposes if exposed to heat or light' — meaning it breaks down and loses potency. Pronounced: dee-kum-POHZ (3 syllables, stress on POHZ). OET: relevant when counselling about medication storage — 'Store away from heat and light to prevent the medication from breaking down.'","The pharmacist explained that the medication could decompose if left in a warm environment — she advised storing it in a cool, dry place away from direct sunlight."
dispute,"A disagreement or argument — as a noun: DIS-pyoot (stress on DIS) or dih-SPYOOT. As a verb: dih-SPYOOT (stress on SPYOOT). Note the stress SHIFT between noun and verb — this is a common OET/MBA error. In clinical settings: 'to dispute a diagnosis' = to challenge or question it. In MBA: 'a commercial dispute', 'dispute resolution'.",The patient disputed the diagnosis — she felt her symptoms had not been fully investigated — and the pharmacist listened carefully before suggesting she request a second opinion from her GP.
minimise,"To reduce something to the smallest possible amount, or to play down the significance of something. Pronounced: MIN-ih-myz (3 syllables, stress on MIN). Clinical OET use: 'to minimise side effects', 'to minimise risk'. Also a communication pitfall: 'minimising' a patient's concerns (e.g. saying 'it's nothing to worry about') is penalised in OET — always validate first.",The pharmacist was careful not to minimise the patient's concerns about the medication side effects — she acknowledged them fully before explaining what could be done to manage them.
implications,"The possible consequences or effects of something — 'the implications of this diagnosis', 'the clinical implications of missing a dose'. Pronounced: im-plih-KAY-shunz (4 syllables, stress on KAY). OET use: 'What are the implications for your daily life?' MBA use: 'strategic implications', 'financial implications of the decision'.",The pharmacist explained the implications of stopping the medication suddenly — including the risk of withdrawal symptoms and loss of disease control.
integrated project,"A project that combines multiple components, departments, or workstreams into a unified whole — used in MBA/project management. 'Integrated' = IN-tih-gray-tid (4 syllables, stress on IN). An integrated project requires cross-functional collaboration and coordinated planning. Contrast with siloed or standalone projects.","The MBA cohort was tasked with delivering an integrated project that combined financial analysis, marketing strategy, and operational planning into a single coherent proposal."
handover system,"A structured process for transferring responsibility, information, or tasks from one person or team to another — critical in healthcare (clinical handover between shifts) and project management. Pronounced: HAN-doh-vur SIS-tum (5 syllables). Clinical OET: a poor handover system is a common cause of medication errors and patient harm — pharmacists play a key role in medication reconciliation during handovers.",The hospital had implemented a new electronic handover system to ensure that critical patient information — including medication changes — was accurately communicated between nursing shifts.
resource levelling,"A project management technique used to resolve resource conflicts by adjusting the project schedule — ensuring no resource is over- or under-allocated. Pronounced: REE-sors LEV-ul-ing (5 syllables). Used when multiple tasks compete for the same resources (people, equipment, budget). May extend project timelines. Key MBA/PMP concept.",The project manager used resource levelling to redistribute the team's workload — ensuring no one was overloaded while keeping the project on track.
intermittently,"Occurring at irregular intervals — stopping and starting, not continuous. Pronounced: in-tur-MIT-unt-lee (5 syllables, stress on MIT). Clinical OET use: 'the pain occurs intermittently', 'the patient intermittently takes the medication'. Contrast with: constantly (all the time), consistently (regularly and reliably), irregularly (unpredictably).","The patient said the pain occurred intermittently — coming on for about 20 minutes at a time, then disappearing completely before returning later in the day."
irregularly,"Without a regular pattern — unpredictably, erratically. Pronounced: ih-REG-yoo-lur-lee (5 syllables, stress on REG). Clinical OET: 'the patient takes medication irregularly' = not at set times, missing doses unpredictably. Contrast with intermittently (stops and starts) and inconsistently (sometimes does, sometimes doesn't). Relevant for adherence counselling.","The patient admitted she had been taking her medication irregularly — sometimes twice a day, sometimes not at all — the pharmacist discussed the importance of consistent dosing."
constantly vs consistently,"CONSTANTLY = all the time, without stopping (e.g. 'the pain is constant'). CONSISTENTLY = regularly and reliably, following a pattern (e.g. 'take the medication consistently every morning'). These are frequently confused. Constantly implies continuous presence; consistently implies reliable regularity. OET: 'constantly in pain' ≠ 'consistently takes medication'. MBA: 'consistently delivering results' = reliably, not 'constantly working'.","The pharmacist explained the difference: 'The goal is not to constantly think about your medication, but to consistently take it at the same time each day.'"
acid reflux / gastro-oesophageal reflux disease (GORD),"Acid reflux = stomach acid flowing back up into the oesophagus (food pipe), causing heartburn and irritation. Clinical term: GORD (gastro-oesophageal reflux disease) — British spelling; GERD in American English. Pronounced: gas-troh-ih-SOF-uh-JEE-ul (oesophageal = ih-SOF-uh-JEE-ul, stress on JEE). Triggers: large meals, fatty/spicy food, alcohol, caffeine, carbonated drinks, lying down after eating, obesity. OET counselling: lifestyle advice + medication (antacids, PPIs, H2 blockers). Note: 'acid reflux' is the patient term; GORD is the clinical diagnosis.","The patient complained of a burning sensation in her chest after meals — the pharmacist explained this was likely acid reflux and advised her to avoid large meals, carbonated drinks, and lying down within two hours of eating."
full blood count (FBC) — NOT 'blood count',"Full blood count (FBC) = a standard blood test measuring: red blood cells (RBC), white blood cells (WBC), haemoglobin (Hb), haematocrit, platelets. Used to detect anaemia, infection, clotting disorders, and haematological malignancies. IMPORTANT: the correct term is 'full blood count' — NOT 'blood count' alone, which is not standard clinical terminology in British/NZ English. Abbreviated: FBC (British/NZ/Australian) or CBC (American — complete blood count).",The GP arranged a full blood count to investigate the patient's fatigue and pallor — the pharmacist explained that the FBC would check for anaemia and signs of infection.
H2 receptor blockers (H2 antagonists),"H2 receptor blockers = a class of medications that reduce stomach acid production by blocking histamine H2 receptors on the stomach lining. Examples: ranitidine (now withdrawn), famotidine, cimetidine. Pronounced: aych-TWO reh-SEP-tur BLOK-urz. Used for: acid reflux, GORD, peptic ulcers, Zollinger-Ellison syndrome. Less potent than PPIs (proton pump inhibitors) but faster-acting. OET: distinguish from PPIs (omeprazole, lansoprazole) — H2 blockers act faster but shorter duration.",The pharmacist explained that H2 receptor blockers work by reducing the amount of acid the stomach produces — they act more quickly than PPIs but for a shorter period of time.
barium swallow,"A radiological procedure where the patient swallows a barium contrast liquid — X-rays are then taken to visualise the oesophagus, stomach, and upper GI tract. Used to investigate: dysphagia (swallowing difficulty), GORD, hiatus hernia, oesophageal strictures, motility disorders. Pronounced: BAIR-ee-um SWOL-oh (4 syllables). Patient preparation: nothing to eat or drink before the procedure. Stools may appear white for a day or two afterwards — normal and expected.",The patient was scheduled for a barium swallow to investigate her difficulty swallowing — the pharmacist explained she would need to fast beforehand and that her stools might appear white for a day or two after the procedure.
burping / belching / eructation,"Burping (patient term) = belching (semi-clinical) = eructation (clinical/formal) — the release of gas from the stomach through the mouth. Pronounced: ih-ruk-TAY-shun (4 syllables, stress on TAY). Excessive burping can be a symptom of: acid reflux/GORD, aerophagia (swallowing air), H. pylori infection, gastroparesis, or functional dyspepsia. OET: use 'burping' or 'belching' when speaking to patients — 'eructation' is for written clinical records.","The patient mentioned she had been burping frequently, especially after meals — the pharmacist asked whether she also experienced heartburn or a sour taste in her mouth, as this could suggest acid reflux."
colitis,"Inflammation of the colon (large bowel). Pronounced: koh-LY-tis (3 syllables, stress on LY). Types: ulcerative colitis (UC) — a form of inflammatory bowel disease (IBD); infectious colitis (caused by bacteria e.g. C. difficile); ischaemic colitis (poor blood supply); microscopic colitis. Key symptoms: bloody diarrhoea, abdominal cramping, urgency, weight loss. OET: distinguish UC (chronic, IBD) from infectious colitis (acute, often self-limiting). UC requires long-term management — aminosalicylates (e.g. mesalazine), steroids, immunosuppressants.","The patient had been diagnosed with ulcerative colitis — the pharmacist counselled her on the importance of taking her mesalazine consistently, even during periods when her symptoms were under control."
texture of food / food texture modification,"Food texture modification = altering the consistency of food to make it safer or easier to swallow — used in patients with dysphagia (swallowing difficulty). The IDDSI (International Dysphagia Diet Standardisation Initiative) framework classifies textures from Level 0 (thin liquid) to Level 7 (regular). OET context: relevant when a patient describes difficulty with certain food textures ('I can't manage solid food', 'lumpy foods make me choke'). Referral to a speech and language therapist (SLT) is indicated.",The patient said she was struggling with the texture of solid food and found lumpy foods difficult to swallow — the pharmacist recommended an urgent referral to a speech and language therapist for a swallowing assessment.
Bell's palsy,"Bell's palsy = sudden-onset unilateral (one-sided) facial weakness or paralysis caused by inflammation of the facial nerve (cranial nerve VII) — of unknown cause (idiopathic), though associated with viral infections (HSV). Pronounced: BELZ PAWL-zee (3 syllables). Symptoms: drooping of one side of the face, inability to close the eye, drooling, loss of taste. Treatment: high-dose prednisolone (started within 72 hours), eye drops/patch to protect the cornea. Most patients recover fully within 3–6 months. OET: pharmacist counselling on steroid course + eye protection.","The patient had been diagnosed with Bell's palsy — the pharmacist counselled her on completing the full course of prednisolone and the importance of using eye drops and an eye patch to protect her cornea, as she could not fully close her eye."
biopsy,"A procedure in which a small sample of tissue is removed from the body and examined under a microscope to diagnose disease — particularly cancer. Pronounced: BY-op-see (3 syllables, stress on BY). Types: core biopsy (needle), excisional biopsy (surgical removal), punch biopsy (skin), endoscopic biopsy (via scope). OET context: patients awaiting biopsy results are often anxious — acknowledge this and safety-net appropriately.","The patient was anxious while waiting for her biopsy results — the pharmacist acknowledged her worry, explained what the procedure involved, and advised her to contact the GP if she had not heard within the agreed timeframe."
achalasia,"A rare oesophageal motility disorder in which the lower oesophageal sphincter fails to relax properly during swallowing, and peristalsis (wave-like muscle contractions) is absent or abnormal — leading to food and liquid accumulating in the oesophagus. Pronounced: ak-uh-LAY-zhuh (4 syllables, stress on LAY). Symptoms: progressive dysphagia (difficulty swallowing both solids and liquids), regurgitation of undigested food, chest pain, weight loss. Distinguished from GORD — dysphagia in achalasia affects both solids AND liquids from early on. Diagnosed by barium swallow and oesophageal manometry.","The patient described progressive difficulty swallowing — initially solids, now liquids too — the pharmacist recognised this pattern as a possible sign of achalasia and recommended urgent GP referral for further investigation."
this study / this study was conducted using aggregated population data,Standard academic phrasing for describing research methodology. 'This study' = the research being described or cited. 'Was conducted' = was carried out (past passive — preferred over 'was made by using'). 'Aggregated population data' = data combined from a large group of people rather than individuals — used in epidemiological and public health research. OET writing: 'This study was conducted using aggregated population data' ✅ | 'This study is made by using...' ❌ (incorrect grammar). Prefer 'conducted' over 'carried out' in formal academic writing.,"This study was conducted using aggregated population data from the New Zealand Health Survey, providing a broad overview of medication adherence trends across demographic groups."
published article / published paper / academic paper / research paper,"PUBLISHED ARTICLE / PUBLISHED PAPER = a peer-reviewed piece of research formally published in an academic journal (출판된 학술 논문). ACADEMIC PAPER = a broader term for scholarly writing — may or may not be peer-reviewed (학술 논문). RESEARCH PAPER = a report of original research findings (연구 논문). OET writing: use 'published article' or 'published paper' when citing evidence. Correct phrasing: 'According to a published research paper...' | 'As a reference, I have attached a published paper.'","According to a published research paper, patients who receive structured pharmacist counselling show significantly improved adherence to long-term medication regimens."
according to a research paper / as a reference / for your information (FYI),"Standard academic and professional citation phrases. 'According to a research paper' = citing evidence from a study. 'As a reference, I have attached...' = providing supporting documentation (참고자료로서). 'For your information (FYI)' = providing context or background information the reader should be aware of (참고로). OET writing: 'As a reference, I have attached a published paper' ✅ | 'For your information, the patient has a history of...' ✅ | FYI is semi-formal — acceptable in professional letters but avoid in formal clinical reports.","As a reference, I have attached a published paper outlining the current evidence base for this treatment approach. For your information, the patient has previously tried two alternative therapies without success."
rigour (academic/research rigour),"Rigour = the quality of being thorough, careful, and accurate — in research, it refers to the quality and trustworthiness of the methodology and findings. Pronounced: RIG-ur (2 syllables, stress on RIG). British spelling: rigour (NOT rigor — that is the American spelling, also a clinical term for muscle stiffness). Research rigour involves: careful design, appropriate methods, transparent reporting, and consideration of limitations. MBA: 'analytical rigour', 'rigorous analysis'.","The pharmacist noted that the study demonstrated strong methodological rigour — the sample size was large, the methodology was clearly described, and potential biases had been acknowledged and addressed."
credibility (research credibility),"Credibility = the quality of being trusted and believed — in research, it refers to whether findings accurately represent the phenomenon being studied. Pronounced: kred-ih-BIL-ih-tee (5 syllables, stress on BIL). Related concepts: transferability (can findings apply elsewhere?), dependability (consistency), confirmability (can findings be verified?). In qualitative research, credibility replaces 'validity' as the key quality criterion. OET/MBA: 'the study's credibility is strengthened by...'",The credibility of the study was enhanced by member-checking — participants were asked to review and confirm the accuracy of the researcher's interpretations.
reflexivity statement (researcher reflexivity),"A reflexivity statement = a declaration by the researcher acknowledging their own background, perspectives, and potential biases, and how these may have influenced the research (연구자 성찰성 진술). Essential in qualitative research — the researcher's positionality (role, beliefs, experiences) can shape data collection and interpretation. A reflexivity statement promotes transparency and strengthens research credibility. Often included in the methods section.",The researcher included a reflexivity statement acknowledging her experience as a practising pharmacist — she recognised this background may have influenced her interpretation of the patient interview data.
aggregated population data,"Data that has been combined, summarised, or pooled from a large group of individuals rather than reported at the individual level — used in epidemiological and public health research. 'Aggregated' = ag-REG-ay-tid (4 syllables, stress on REG). Contrast with: individual-level data (disaggregated data). Aggregated data protects privacy but may mask variation within subgroups — a limitation to acknowledge. OET/MBA research context.","This study was conducted using aggregated population data from national health surveys — while this provided broad trends, it could not capture individual variation across demographic subgroups."
collective benefit,"Collective benefit = a principle in research ethics and Indigenous data sovereignty — the idea that research should benefit the community or group being studied, not just the individual researcher or institution (집단적 이익). One of the CARE Principles for Indigenous Data Governance (Collective benefit, Authority to control, Responsibility, Ethics). OET/MBA research ethics context: ensure research design considers the benefit to the population studied, not just academic outputs.",The research team ensured the principle of collective benefit was upheld — findings were shared back with the community in accessible formats and used to inform local health policy decisions.
description vs disaggregation,"DESCRIPTION = a factual account or summary of data, events, or characteristics — 단순 기술, 작성 (dih-SKRIP-shun, stress on SKRIP). DISAGGREGATION = the process of breaking down aggregated data into smaller, more specific subgroups — e.g. separating health data by ethnicity, age, or gender to reveal disparities (dis-ag-reh-GAY-shun, stress on GAY). Disaggregation is essential for equity analysis — aggregated data may hide inequalities between groups.","A simple description of the overall data showed similar outcomes across the population — however, disaggregation by ethnicity revealed significant disparities in access to medication counselling services."
reciprocity (research ethics),"Reciprocity = a mutual exchange of benefit — in research ethics, the obligation of the researcher to give something back to the community that participated in or contributed to the research (호혜성). In Indigenous data sovereignty: researchers should not simply extract data and leave — they should return value to communities through shared findings, capacity building, or co-design. Pronounced: reh-SIP-roh-sih-tee (5 syllables, stress on SIP).",The principle of reciprocity was central to the study design — the research team held community workshops to share findings and co-develop recommendations with the participants themselves.
side by side,Next to each other — in research or business contexts: comparing two things placed next to each other for direct comparison. 'A side-by-side comparison' = comparing two options directly. Also used clinically: 'placed side by side' to describe anatomical positioning. OET/MBA: 'a side-by-side analysis of the two treatment approaches revealed...',The pharmacist placed the two medication information leaflets side by side so the patient could clearly see the differences in dosing schedules and side effect profiles.
pointing toward / pointing to,"Indicating or suggesting — used in research and clinical reasoning to describe evidence that suggests a particular conclusion without being definitive. 'The evidence is pointing toward...' = the data suggests, implies, or indicates. Distinguish from 'proving' or 'demonstrating' — 'pointing toward' is softer and more appropriate when evidence is preliminary or correlational. OET/MBA academic writing: use hedging language appropriately.",The emerging data is pointing toward a significant association between medication non-adherence and hospital readmission rates — though further longitudinal research is needed to confirm this.
twofold,"Two times as great or as many — doubled. Pronounced: TOO-fold (2 syllables, stress on TOO). Used in research to describe a relative increase or decrease: 'a twofold increase in risk', 'a twofold reduction in symptoms'. Equivalent: 'twice as likely', '100% increase'. OET/MBA: quantitative language for describing research findings or business outcomes. Related: threefold (×3), fourfold (×4), manifold (many times).",Patients who received pharmacist counselling at discharge showed a twofold improvement in medication adherence rates compared to those who received standard care alone.
accountability,"The obligation to accept responsibility for one's actions and to be answerable to others for outcomes. Pronounced: uh-kown-tuh-BIL-ih-tee (6 syllables, stress on BIL). In healthcare: 'professional accountability' — pharmacists are accountable to their patients, employer, and regulatory body. In research ethics: 'accountability to the community'. In MBA: 'corporate accountability', 'accountability frameworks', 'holding stakeholders accountable'. Distinct from responsibility (the duty to act) — accountability is about answering for the outcome.",Professional accountability requires pharmacists to document their counselling conversations accurately — this ensures transparency and provides a clear record if the patient's care is ever reviewed.
despite it expressing a live immigrant life / in spite of this,"DESPITE and IN SPITE OF = concessive prepositions meaning 'even though' or 'regardless of' — used to introduce a contrast or unexpected outcome. Both are followed by a NOUN or NOUN PHRASE (not a clause). 'Despite it expressing...' = despite the fact that it expresses... 'In spite of this' = nevertheless, however. OET/writing distinction: 'despite' is slightly more formal; 'in spite of' is equivalent but slightly more emphatic. Common error: 'Despite it is...' ❌ — must use noun/gerund after despite.","In spite of the difficulties she faced as a new immigrant, the patient demonstrated strong adherence to her medication regimen. Despite the language barrier, she understood the key counselling points clearly."
complementarity,"The state of being complementary — where two things enhance or complete each other. Pronounced: kom-pleh-men-TAIR-ih-tee (6 syllables, stress on TAIR). Distinct from 'complementary' (adjective). Research/MBA context: 'the complementarity of qualitative and quantitative methods', 'complementarity between team skills'. Also used in physics and philosophy (Bohr's principle of complementarity). OET writing: 'the complementarity of pharmacist and GP roles in patient care'.",The study highlighted the complementarity of pharmacist-led counselling and GP medical management — each role enhanced the effectiveness of the other in improving patient outcomes.
carry out,"To perform, execute, or complete a task or activity. A phrasal verb — 'carry out' = conduct, perform, undertake. Pronounced: KA-ree owt (3 syllables). Academic/OET writing register: 'carry out' is acceptable but slightly informal — prefer 'conduct' or 'undertake' in formal academic writing. However, 'carry out' is natural and correct in spoken OET and professional letters. Examples: 'carry out a biopsy', 'carry out an assessment', 'carry out research'.",The pharmacist carried out a full medication review to identify any potential interactions before the patient's scheduled surgery.
here is the actual rewrite / dialed into B2-C1 level / slight phrasing and grammar slips,"Phrases used when producing or describing a language sample pitched at a specific proficiency level. 'Dialed into' = calibrated to, adjusted for — informal but widely used. 'B2–C1' = upper-intermediate to advanced on the CEFR scale (Common European Framework of Reference). 'Phrasing slips' = slightly unnatural or awkward word choices. 'Grammar slips' = minor grammatical errors. OET candidates typically perform at B2–C1 level — understanding this helps with self-assessment and peer comparison.","The tutor provided a rewrite dialled into B2–C1 level — natural enough to be credible, but with a few subtle phrasing and grammar slips that reflected the student's current proficiency stage."
validating,"Confirming or affirming the truth, accuracy, or worth of something — or acknowledging a person's feelings or experiences as legitimate. Pronounced: VAL-ih-day-ting (4 syllables, stress on VAL). Two main uses: (1) Research: 'validating a questionnaire' = confirming it measures what it intends to measure. (2) Clinical communication (OET): 'validating the patient's concerns' = acknowledging their feelings as real and understandable — a core OET communication criterion. Never skip validation before giving information.",The pharmacist began by validating the patient's concerns — acknowledging how frightening the new diagnosis must feel — before moving on to explain the medication.
